Reported by,Origin (prefectures),Origin (district),Origin (municipality),Origin (Other),Food category,Item,Day of collection,Result found Date,134Cs Radioactivity concentration (Bq/kg),134Cs detection limit (Bq/kg),137Cs Radioactivity concentration (Bq/kg),137Cs detection limit (Bq/kg),134Cs + 137Cs Radioactivity concentration (Bq/kg),134Cs + 137Cs detection limit (Bq/kg),134Cs + 137Cs  exceeded reference value, Remarks
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E373,Wild birds and animals,Ducks,2012-03-13,2012-03-23,,,,,1.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Nishiaizu town,A454,Wild birds and animals,Wild boar,2012-03-15,2012-03-23,,,,,3.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Sukagawa city,E732,Wild birds and animals,Wild boar,2012-03-15,2012-03-23,,,,,1.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Shimogo town,D771,Wild birds and animals,Wild boar,2012-03-15,2012-03-23,,,,,4.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E562,Wild birds and animals,Pheasant,2012-03-19,2012-03-29,ND,<1.7E+01,ND,<8.9E+00,,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Date city,B544,Wild birds and animals,Wild boar,2012-03-25,2012-03-29,,,,,3.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E473,Wild birds and animals,Ducks,2012-03-26,2012-06-19,,,,,4.6E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E473,Wild birds and animals,Ducks,2012-03-26,2012-06-19,,,,,5.3E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E373,Wild birds and animals,Ducks,2012-03-28,2012-06-19,,,,,7.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E472,Wild birds and animals,Ducks,2012-03-28,2012-06-19,,,,,3.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E473,Wild birds and animals,Ducks,2012-03-28,2012-06-19,,,,,3.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E473,Wild birds and animals,Ducks,2012-03-28,2012-06-19,,,,,8.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B243,Wild birds and animals,Wild boar,2012-05-25,2012-06-05,,,,,3.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B241,Wild birds and animals,Wild boar,2012-05-25,2012-07-02,,,,,4.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B333,Wild birds and animals,Black bear,2012-05-26,2012-06-05,,,,,4.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Adachi county Otama village,B224,Wild birds and animals,Black bear,2012-05-29,2012-06-19,,,,,2.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B124,Wild birds and animals,Wild boar,2012-05-30,2012-06-19,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B243,Wild birds and animals,Wild boar,2012-06-05,2012-06-19,,,,,3.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Sukagawa city,E732,Wild birds and animals,Wild boar,2012-06-06,2012-07-02,,,,,4.6E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B331,Wild birds and animals,Black bear,2012-06-08,2012-06-19,,,,,1.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Tamura city,B153,Wild birds and animals,Wild boar,2012-06-09,2012-06-19,,,,,3.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2012-06-10,2012-07-02,,,,,2.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2012-06-10,2012-07-02,,,,,2.5E+04,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Inawashiro town,B204,Wild birds and animals,Black bear,2012-06-11,2012-06-19,,,,,5.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B221,Wild birds and animals,Wild boar,2012-06-12,2012-07-02,,,,,2.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B123,Wild birds and animals,Wild boar,2012-06-13,2012-07-02,,,,,1.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Minamiaizu town,D661,Wild birds and animals,Black bear,2012-06-13,2012-07-02,,,,,2.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Shirakawa city,E423,Wild birds and animals,Wild boar,2012-06-14,2012-06-19,,,,,3.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B221,Wild birds and animals,Wild boar,2012-06-14,2012-07-02,,,,,1.0E+02,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B424,Wild birds and animals,Black bear,2012-06-14,2012-07-02,,,,,4.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2012-06-15,2012-07-02,,,,,1.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B251,Wild birds and animals,Wild boar,2012-06-16,2012-07-02,,,,,2.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Adachi county Otama village,B222,Wild birds and animals,Wild boar,2012-06-18,2012-07-02,,,,,1.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B333,Wild birds and animals,Wild boar,2012-06-23,2012-07-02,,,,,3.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B123,Wild birds and animals,Black bear,2012-06-24,2012-07-02,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date county Kawamata town,B442,Wild birds and animals,Wild boar,2012-06-24,2012-08-01,,,,,4.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Kitashiobara village,B402,Wild birds and animals,Black bear,2012-06-27,2013-01-10,,,,,1.9E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B121,Wild birds and animals,Black bear,2012-06-28,2012-08-01,,,,,1.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B533,Wild birds and animals,Black bear,2012-06-29,2012-08-01,,,,,5.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A073,Wild birds and animals,Wild boar,2012-07-01,2012-08-01,,,,,1.8E+01,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Tamura city,B161,Wild birds and animals,Wild boar,2012-07-01,2012-08-01,,,,,1.1E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Hanawa town,E331,Wild birds and animals,Wild boar,2012-07-01,2012-08-01,,,,,1.9E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Iwaki,Iwaki city,E473,Wild birds and animals,Wild boar,2012-07-03,2012-08-01,,,,,2.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Minamiaizu town,D554,Wild birds and animals,Black bear,2012-07-07,2012-08-01,,,,,5.8E+01,,,
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Minamiaizu town,D541,Wild birds and animals,Black bear,2012-07-09,2012-08-01,,,,,3.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Hanawa town,E332,Wild birds and animals,Wild boar,2012-07-13,2012-08-01,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B343,Wild birds and animals,Wild boar,2012-07-13,2012-08-01,,,,,4.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Minamisoma city,B371,Wild birds and animals,Wild boar,2012-07-20,2012-08-01,,,,,2.0E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Nishiaizu town,A354,Wild birds and animals,Black bear,2012-07-20,2012-08-01,,,,,2.1E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Wild boar,2012-07-20,2012-10-03,,,,,1.6E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B111,Wild birds and animals,Black bear,2012-07-21,2012-08-01,,,,,4.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B243,Wild birds and animals,Wild boar,2012-07-23,2012-08-01,,,,,6.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Wild boar,2012-07-25,2012-10-03,,,,,2.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Inawashiro town,B213,Wild birds and animals,Black bear,2012-07-26,2012-08-01,,,,,6.7E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B441,Wild birds and animals,Wild boar,2012-07-27,2012-08-31,,,,,4.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Tamura city,B154,Wild birds and animals,Pheasant,2012-07-27,2012-08-31,,,,,1.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B242,Wild birds and animals,Wild boar,2012-07-27,2012-10-03,,,,,1.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Nishishirakawa county Nishigo village,E602,Wild birds and animals,Wild boar,2012-07-29,2012-08-31,,,,,1.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B244,Wild birds and animals,Wild boar,2012-07-30,2012-08-31,,,,,6.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Nishiaizu town,A451,Wild birds and animals,Black bear,2012-07-30,2012-08-31,,,,,1.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B324,Wild birds and animals,Black bear,2012-07-30,2012-08-31,,,,,3.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Wild boar,2012-07-31,2012-08-31,,,,,2.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Tamura city,B161,Wild birds and animals,Wild boar,2012-07-31,2012-08-31,,,,,5.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Shimogo town,D762,Wild birds and animals,Black bear,2012-07-31,2012-08-31,,,,,4.2E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Kitashiobara village,A374,Wild birds and animals,Black bear,2012-08-02,2013-01-10,,,,,1.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Shirakawa city,E412,Wild birds and animals,Wild boar,2012-08-03,2012-08-31,,,,,3.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B234,Wild birds and animals,Wild boar,2012-08-04,2012-08-31,,,,,3.7E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A171,Wild birds and animals,Black bear,2012-08-05,2012-08-31,,,,,3.3E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Inawashiro town,B323,Wild birds and animals,Black bear,2012-08-06,2012-08-31,,,,,1.0E+02,,,
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B023,Wild birds and animals,Black bear,2012-08-06,2012-08-31,,,,,1.2E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Kitashiobara village,B304,Wild birds and animals,Black bear,2012-08-06,2013-01-10,,,,,1.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Kitakata city,A464,Wild birds and animals,Black bear,2012-08-07,2012-08-31,,,,,4.5E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Inawashiro town,B314,Wild birds and animals,Black bear,2012-08-07,2012-08-31,,,,,2.0E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Kitashiobara village,A373,Wild birds and animals,Black bear,2012-08-07,2013-01-10,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Adachi county Otama village,B224,Wild birds and animals,Black bear,2012-08-09,2012-08-31,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Wild boar,2012-08-10,2012-08-31,,,,,3.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Soso,Soma city,B573,Wild birds and animals,Wild boar,2012-08-10,2012-08-31,,,,,9.9E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Aizuwakamatsu city,A171,Wild birds and animals,Black bear,2012-08-10,2012-08-31,,,,,6.1E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B253,Wild birds and animals,Wild boar,2012-08-12,2012-10-03,,,,,1.0E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kennan,Higashishirakawa county Yamatsuri town,E134,Wild birds and animals,Wild boar,2012-08-14,2012-08-31,,,,,1.0E+02,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Showa village,A051,Wild birds and animals,Black bear,2012-08-15,2012-08-31,,,,,1.4E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Black bear,2012-08-15,2012-08-31,,,,,3.6E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Date county Kawamata town,B451,Wild birds and animals,Wild boar,2012-08-16,2012-08-31,,,,,6.0E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B023,Wild birds and animals,Black bear,2012-08-17,2012-08-31,,,,,6.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Nishiaizu town,A253,Wild birds and animals,Black bear,2012-08-19,2012-08-31,,,,,2.2E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B322,Wild birds and animals,Black bear,2012-08-19,2012-08-31,,,,,2.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B023,Wild birds and animals,Black bear,2012-08-20,2012-08-31,,,,,1.0E+02,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B532,Wild birds and animals,Wild boar,2012-08-21,2012-08-31,,,,,2.1E+03,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Aizuwakamatsu city,A072,Wild birds and animals,Black bear,2012-08-21,2012-08-31,,,,,1.3E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Minamiaizu,Minamiaizu county Minamiaizu town,D662,Wild birds and animals,Black bear,2012-08-21,2012-08-31,,,,,4.0E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A161,Wild birds and animals,Black bear,2012-08-22,2012-08-31,,,,,8.4E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A171,Wild birds and animals,Black bear,2012-08-22,2012-08-31,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Yama county Bandai town,A274,Wild birds and animals,Black bear,2012-08-22,2012-08-31,,,,,1.1E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kenchu,Koriyama city,B012,Wild birds and animals,Black bear,2012-08-23,2012-08-31,,,,,3.5E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Kempoku,Nihommatsu city,B322,Wild birds and animals,Black bear,2012-08-23,2012-08-31,,,,,3.9E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A162,Wild birds and animals,Black bear,2012-08-25,2012-10-03,,,,,3.1E+01,,,
Fukushima prefecture,Fukushima prefecture,Aizu,Onuma county Aizumisato town,A162,Wild birds and animals,Black bear,2012-08-26,2012-10-03,,,,,5.9E+01,,,
Fukushima prefecture,Fukushima prefecture,Kempoku,Fukushima city,B531,Wild birds and animals,Black bear,2012-08-26,2012-10-03,,,,,2.8E+02,,Exceeded reference value,"Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys from April 1, 2012.  Over 100 Bq/kg in total of 134Cs and 137Cs in the surveys until March 31, 2012"
